3000,2317
3002,312
3003,86
3004,428
3006,491
3008,383
3011,169
3012,187
3013,110
3015,51
3016,87
3018,100
3019,23
3020,162
3021,86
3022,1
3023,132
3024,153
3025,17
3026,4
3028,73
3029,232
3031,205
3032,257
3033,58
3034,63
3036,8
3037,132
3038,53
3039,63
3040,238
3041,30
3042,49
3043,111
3044,151
3045,136
3046,50
3047,133
3048,9
3049,27
3051,138
3052,204
3053,243
3054,91
3055,180
3056,323
3057,57
3058,87
3059,29
3060,204
3061,9
3062,8
3063,0
3064,135
3065,217
3066,134
3067,204
3068,300
3070,106
3071,60
3072,205
3073,117
3074,77
3075,14
3076,34
3078,56
3079,94
3081,60
3082,35
3083,81
3084,76
3085,19
3087,35
3088,76
3089,13
3090,4
3091,4
3093,4
3094,21
3095,14
3096,2
3097,1
3099,17
3101,59
3102,9
3103,50
3104,28
3105,33
3106,35
3107,17
3108,69
3109,215
3111,15
3113,74
3114,18
3115,9
3116,16
3121,460
3122,361
3123,288
3124,76
3125,101
3126,19
3127,81
3128,58
3129,15
3130,117
3131,83
3132,27
3133,22
3134,102
3135,19
3136,68
3137,16
3138,51
3139,16
3140,18
3141,263
3142,95
3143,36
3144,70
3145,128
3146,47
3147,46
3148,9
3149,80
3150,458
3151,19
3152,142
3153,93
3154,7
3155,68
3156,304
3158,22
3159,5
3160,53
3161,132
3162,13
3163,161
3165,153
3166,98
3167,34
3168,84
3169,131
3170,76
3171,33
3172,57
3173,61
3174,120
3175,340
3177,8
3178,60
3179,10
3180,35
3181,303
3182,806
3183,169
3184,125
3185,90
3186,172
3187,259
3188,29
3189,75
3190,39
3191,18
3192,149
3193,15
3194,74
3195,188
3196,105
3197,8
3198,49
3199,279
3200,5
3201,60
3202,4
3204,99
3205,135
3206,116
3207,128
3211,8
3212,17
3213,1
3214,10
3215,15
3216,44
3217,0
3218,7
3219,12
3220,33
3222,14
3223,5
3224,6
3225,9
3226,4
3227,3
3228,17
3335,43
3337,26
3338,51
3340,10
3341,8
3342,3
3427,7
3428,0
3429,31
3430,1
3431,3
3432,0
3433,0
3434,8
3435,1
3437,33
3438,4
3440,3
3441,0
3442,7
3444,11
3446,0
3447,1
3458,3
3461,7
3658,101
3659,2
3660,1
3711,0
3712,11
3713,22
3714,9
3717,0
3718,4
3750,157
3751,1
3752,205
3753,0
3754,101
3755,1
3756,8
3757,11
3758,2
3759,36
3760,2
3761,0
3762,0
3763,0
3764,224
3765,16
3766,0
3767,2
3770,6
3775,7
3777,10
3778,1
3779,0
3781,5
3782,10
3783,1
3785,0
3786,3
3787,4
3788,5
3789,1
3791,3
3792,3
3793,11
3795,0
3796,5
3797,11
3799,96
3802,17
3803,49
3804,2
3805,71
3806,39
3807,3
3808,1
3809,0
3810,15
3812,1
3813,1
3814,2
3815,5
3816,0
3818,1
3820,1
3833,0
3910,32
3911,56
3912,25
3913,3
3915,9
3916,1
3918,1
3919,0
3920,2
3921,0
3922,8
3923,0
3926,4
3927,1
3928,0
3929,2
3930,103
3931,53
3933,3
3934,22
3936,5
3937,1
3938,4
3939,36
3940,0
3941,35
3942,25
3943,10
3944,25
3945,0
3946,0
3953,2
3956,1
3975,19
3976,23
3977,119
3978,9
3979,0
3980,2
3981,4
3984,11
3987,1
3988,0
3990,0
3991,6
