Tullamarine-Gladstone Park,3043,61,88,57,206,8.904899135,0.296116505,0.427184466,0.276699029
Albert Park,3206,97,72,37,206,6.958171109,0.470873786,0.349514563,0.17961165
Noble Park,3174,104,54,47,205,6.463878327,0.507317073,0.263414634,0.229268293
Bayswater+North,3153,90,57,57,204,8.21548479,0.441176471,0.279411765,0.279411765
Caulfield North-Crimea,3161,73,71,54,198,3.792511165,0.368686869,0.358585859,0.272727273
Thornbury,3071,88,63,44,195,6.831086894,0.451282051,0.323076923,0.225641026
Ringwood+North-Warranwood,3134,84,42,62,188,10.0192926,0.446808511,0.223404255,0.329787234
Reservoir-Keon Park,3073,69,66,52,187,7.14360686,0.368983957,0.352941176,0.278074866
Geelong+South-Bareena-Chilwell,3220,80,74,31,185,19.40210636,0.432432432,0.4,0.167567568
Pascoe Vale+South-Coburg North,3044,85,49,50,184,5.053235053,0.461956522,0.266304348,0.27173913
Wyndham vale-Mambourin-Mount Cottrell,3024,58,65,60,183,5.690153367,0.316939891,0.355191257,0.327868852
Armadale,3143,81,60,42,183,4.372146119,0.442622951,0.327868852,0.229508197
Clayton South-Clarinda-Westall,3169,80,51,52,183,3.949918801,0.43715847,0.278688525,0.284153005
West Melbourne,3003,85,54,43,182,11.77884615,0.467032967,0.296703297,0.236263736
Broadmeadows-Dallas,3047,69,61,52,182,18.96215989,0.379120879,0.335164835,0.285714286
Bentleigh East,3165,59,64,55,178,2.522758834,0.331460674,0.359550562,0.308988764
Niddrie-Airport West,3042,63,60,54,177,9.052323963,0.355932203,0.338983051,0.305084746
Carlton North,3054,74,59,44,177,6.135486982,0.418079096,0.333333333,0.248587571
Camberwell-Hartwell,3124,59,63,55,177,5.087622947,0.333333333,0.355932203,0.310734463
Mentone,3194,66,52,55,173,6.239821719,0.38150289,0.300578035,0.317919075
Heidelberg-Rosanna-Banyule-Eaglemont,3084,72,51,42,165,7.807350033,0.436363636,0.309090909,0.254545455
Croydon+South+North-Croydon Hills,3136,53,60,50,163,4.098720828,0.325153374,0.36809816,0.306748466
Bundoora-Kingsbury,3083,72,47,43,162,6.084571266,0.444444444,0.290123457,0.265432099
Wollert,3750,47,58,54,159,50.68762279,0.295597484,0.364779874,0.339622642
Altona,3018,88,33,35,156,8.345360387,0.564102564,0.211538462,0.224358974
Burwood-Bennettswood,3125,55,63,34,152,4.512991947,0.361842105,0.414473684,0.223684211
Brunswick East,3057,83,34,34,151,6.949032563,0.549668874,0.225165563,0.225165563
Mernda-Doreen,3754,66,43,42,151,6.448892387,0.437086093,0.284768212,0.278145695
Mitcham-Heatherdale-Rangeview,3132,68,47,34,149,4.381878334,0.456375839,0.315436242,0.228187919
Chelsea,3196,67,43,39,149,4.930055108,0.44966443,0.288590604,0.261744966
Mount Eliza,3930,69,49,31,149,4.638218924,0.463087248,0.32885906,0.208053691
Toorak,3142,66,43,38,147,5.500738093,0.448979592,0.292517007,0.258503401
Geelong West-Herne Hill-Manifold Heights,3218,45,61,39,145,5.344116714,0.310344828,0.420689655,0.268965517
Nunawading-Forest Hill,3131,50,53,39,142,4.771201371,0.352112676,0.373239437,0.274647887
Mount Waverley-Pinewood-Syndal,3149,58,41,43,142,4.726127755,0.408450704,0.288732394,0.302816901
Elsternwick-Gardenvale,3185,71,41,28,140,7.63502455,0.507142857,0.292857143,0.2
Mulgrave-Brandon Park,3170,62,45,32,139,4.663682212,0.446043165,0.323741007,0.230215827
Malvern-Kooyong,3144,59,40,39,138,8.208810402,0.427536232,0.289855072,0.282608696
Melton-Kurunjang-Toolern Vale,3337,52,44,40,136,10.81165877,0.382352941,0.323529412,0.294117647
Pakenham,3810,47,52,35,134,8.296040333,0.350746269,0.388059701,0.26119403
Keilor Downs-Taylors Lakes,3038,54,49,30,133,6.346331416,0.406015038,0.368421053,0.22556391
Moonee Ponds,3039,64,35,34,133,8.550735348,0.481203008,0.263157895,0.255639098
Surrey Hills-Chatham-Mont Albert,3127,58,42,33,133,3.145558074,0.436090226,0.315789474,0.248120301
