name, yr2011_12, pfi, postcode,population,averageAge,unemploymentRate,averageIncomeWeekly,eduPrimary,eduSecondary,eduTertiery,CrimeTweetCount,PoliceReportLoged,population loged,incomeLoged,tweetCountLoged
Gisborne-Bullengarook,264,205408098,3437,8698,39,3.3,656,32.3,26.8,16.9,40,8.044394119,13.08646799,9.357552005,5.044394119
New Gisbourne,52,205409310,3438,2380,36,3.1,632,38.8,24.8,16.3,4,5.700439718,11.21674586,9.303780748,2
Macedon,67,205408934,3440,1864,42,3.5,635,33.9,24.8,17,4,6.06608919,10.86418614,9.310612782,1.584962501
Mount Macedon,25,205409070,3441,1321,46,4.7,715,33.6,23.5,15.2,2,4.64385619,10.36741475,9.481799432,#NUM!
Woodend-Ashbourne-Hesket,248,205408354,3442,7189,42,3.8,617,32,25,15.6,10,7.95419631,12.81157539,9.269126679,2.807354922
Kyneton-Redesdale-Tylden,443,205407776,3444,8494,44,4.1,504,30.3,25.7,14.4,21,8.791162889,13.05222839,8.977279923,3.459431619
Malmsbury-Drummond North,74,205408892,3446,612,39,8.3,462,19.9,27.6,21.5,0,6.209453366,9.257387843,8.851749041,#NUM!
Taradale,12,205408732,3447,463,45,6.8,468,26.4,25.7,15.5,53,3.584962501,8.854868383,8.87036472,0
Trentham-Barrys Reef,71,205407802,3458,1714,48,5.8,446,25.3,20.9,12,7,6.14974712,10.74315139,8.8008999,1.584962501
Borlands-Bullarto+South,115,205408268,3461,3954,46,4.7,467,25,21.5,12.4,9,6.845490051,11.94909716,8.86727874,2.807354922
Broadford-Tyaak,239,205407535,3658,5833,40,4.7,504,27,24.4,12.4,104,7.900866808,12.51002236,8.977279923,6.658211483
Tallarook,36,205407676,3659,789,46,4.9,571,32.2,23.2,12.3,9,5.169925001,9.62388149,9.157346935,1
Seymour-Trawool,970,205407820,3660,7418,43,7.3,464,25.5,24.7,12.9,6,9.921840937,12.85681455,8.857980995,0
Buxton,12,205408521,3711,257,47,8,382,16.7,15.2,13.6,0,3.584962501,8.005624549,8.577428828,#NUM!
Thornton-Rubicon,19,205407538,3712,361,51,1.8,509,29.9,21.8,10.3,11,4.247927513,8.495855027,8.991521846,3.459431619
Eildon,111,205407438,3713,982,53,4.9,397,16.2,24.1,14.5,25,6.794415866,9.939579214,8.632995197,4.459431619
Alexandra-Archeron-Taggerty,123,205407895,3714,3249,48,4,469,31.1,23.2,12.1,10,6.942514505,11.66578003,8.873444113,3.169925001
Yea-Flowerdale-Glenburn,102,205407583,3717,2656,49,4.1,433,24.1,23.7,11.3,1,6.672425342,11.37503943,8.758223215,#NUM!
Molesworth,15,205408152,3718,null,null,null,null,null,null,null,4,3.906890596,#VALUE!,#VALUE!,2
Wollert,258,205408619,3750,509,37,2.8,591,26.9,15.4,20.2,159,8.011227255,8.991521846,9.20701432,7.294620749
Woodstock,19,205409154,3751,337,46,2.3,582,26.3,21.1,20,1,4.247927513,8.396604781,9.184875343,0
South Morang,1073,205409471,3752,20874,31,4.5,669,33.2,23.3,15.5,231,10.06743436,14.34941946,9.385862401,7.6794801
Beveridge,70,205407968,3753,872,37,3.8,602,29.8,22.6,15.9,0,6.129283017,9.768184325,9.233619677,#NUM!
Mernda-Doreen,1147,205409126,3754,17786,29,3.2,788,37.4,19.7,15.4,129,10.16364968,14.11845447,9.622051819,6.658211483
Yan Yean,15,205409128,3755,299,42,1.9,654,23.6,19.1,19.1,1,3.906890596,8.224001674,9.353146825,0
Wallan Wallan,539,205408367,3756,9255,33,4.2,635,31.8,24.4,12.1,14,9.074141463,13.17601727,9.310612782,3
Whittlesea-Eden Park-Glenvale,370,205408013,3757,7986,38,4,573,31.3,22.6,14.5,20,8.531381461,12.96325736,9.162391329,3.459431619
Wandongg,92,205409068,3758,2140,36,4.8,590,31.3,27.7,15.9,2,6.523561956,11.06339508,9.204571144,1
Panton Hill,18,205409468,3759,1158,41,3.8,662,37.4,26.9,18.2,36,4.169925001,10.17741954,9.370687407,5.169925001
Smiths Gully,0,205409686,3760,391,42,4.9,643,26.9,26.1,18.7,3,#NUM!,8.611024797,9.328674927,1
St Andrews-Mittons Bridge,23,205408917,3761,1138,41,4.2,638,29.4,28.6,16.3,1,4.523561956,10.15228484,9.317412614,#NUM!
Bylands,5,205408901,3762,null,null,null,null,null,null,null,0,2.321928095,#VALUE!,#VALUE!,#NUM!
Kinglake,70,205407963,3763,1347,37,4.1,539,27.5,25.7,15.3,0,6.129283017,10.39553414,9.074141463,#NUM!
Kilmore,341,205407784,3764,7535,38,5,540,31.4,29.7,13.5,257,8.413627929,12.8793918,9.076815597,7.807354922
Montrose,236,205409809,3765,6733,40,3.6,612,27.2,23.8,17.3,23,7.882643049,12.71703375,9.257387843,4
Kalorama,26,205409952,3766,1208,40,3.5,707,26.1,20.2,23.2,5,4.700439718,10.23840474,9.465566405,#NUM!
Mount Dandenong,29,205409946,3767,1237,44,3.8,577,31.4,24.9,18.3,3,4.857980995,10.27262978,9.172427509,1
Coldstream-Gruyere-Yering,79,205408596,3770,3189,38,3,614,30.1,25.3,17.8,14,6.303780748,11.63888838,9.262094845,2.584962501
Yarra Glen-Christmas Hills,95,205408716,3775,3490,39,3,606,33.4,23.7,17.1,14,6.569855608,11.76901132,9.243173983,2.807354922
Healesville-Mt Slide-Castella,380,205407705,3777,10333,41,4.5,507,29.4,23.5,15.7,65,8.569855608,13.33497156,8.985841937,3.321928095
Narbethong,6,205407739,3778,474,47,2.8,453,25,19.2,8.7,1,2.584962501,8.888743249,8.82336724,0
Marysville,42,205407469,3779,223,52,9.1,418,26.4,22.6,5.7,1,5.392317423,7.8008999,8.707359132,#NUM!
Cockatoo-Nangana,126,205409246,3781,4400,36,4.7,598,28,26,14.7,7,6.977279923,12.10328781,9.224001674,2.321928095
Emerald-Clematis-Avonsleigh,249,205408694,3782,7771,40,4,578,31.6,28.2,18.1,19,7.960001932,12.92388455,9.174925683,3.321928095
Gembrook,93,205407628,3783,2149,40,6,527,28.4,24.9,12.9,1,6.539158811,11.06944977,9.041659152,0
Tremont,6,205410054,3785,null,null,null,null,null,null,null,2,2.584962501,#VALUE!,#VALUE!,#NUM!
Ferny Creek,51,205410114,3786,1535,40,3.2,677,28.5,25.2,21.7,5,5.672425342,10.58402294,9.403012024,1.584962501
Sassafras+South,17,205410104,3787,1145,42,4.5,670,28.2,24,20.6,4,4.087462841,10.16113188,9.388017285,2
Olinda,102,205409581,3788,1663,42,4.4,669,29.3,19.2,22,6,6.672425342,10.69957245,9.385862401,2.321928095
Sherbrooke,9,205410001,3789,268,49,4.5,692,33.3,20.8,22.2,1,3.169925001,8.06608919,9.434628228,0
Kallista,23,205409768,3791,1557,42,4.4,630,31.4,26,21,5,4.523561956,10.60455323,9.299208018,1.584962501
The Patch,19,205410166,3792,1038,44,1.9,656,32.2,25.2,23.2,3,4.247927513,10.01959073,9.357552005,1.584962501
Monbulk,110,205409489,3793,3456,40,4.5,526,27.9,24.2,19.4,11,6.781359714,11.7548875,9.038918989,3.459431619
Silvan+South-Burleigh,37,205409183,3795,1220,39,1.9,539,35,30.3,14.2,0,5.209453366,10.25266543,9.074141463,#NUM!
Mount Evelyn-Kalorama-McKillop,243,205409607,3796,9374,36,4.1,615,31.8,27.4,18.1,6,7.924812504,13.19444908,9.2644426,2.321928095
Yarra Junction-Powelltown,136,205408700,3797,3202,41,3.9,465,27.1,23.1,11.9,16,7.087462841,11.64475759,8.861086906,3.459431619
Warburton+East-Cambarville,195,205407684,3799,6015,41,6.1,429,28.2,22.2,13.9,98,7.607330314,12.55434902,8.744833837,6.584962501
Endeavour Hills,1060,205409664,3802,24574,36,6.7,501,24.7,24.8,23.5,51,10.04984855,14.58484509,8.968666793,4.087462841
Hallam,792,205409931,3803,10162,35,8.3,465,24.4,25.4,20.9,52,9.62935662,13.31089675,8.861086906,5.614709844
Narre Warren North+East,230,205409458,3804,6704,40,3.3,616,30.1,31.4,19.6,9,7.845490051,12.71080643,9.266786541,1
Narre Warren,3655,205409685,3805,54480,32,5.4,589,32.9,26.7,16.2,155,11.83565569,15.73343908,9.202123824,6.14974712
Berwick,1711,205409098,3806,45551,35,4.5,655,31.6,25.4,18.2,68,10.74062404,15.47519511,9.355351096,5.285402219
Beaconsfield,283,205409906,3807,6790,35,3.9,652,33,28.1,15.8,6,8.144658243,12.72919586,9.348728154,1.584962501
Beaconsfield Upper,136,205409240,3808,2977,41,2.4,700,34.3,26.5,19.2,1,7.087462841,11.53964351,9.451211112,0
Officer,280,205409202,3809,1761,31,3,755,26,29.9,18.6,0,8.129283017,10.78217919,9.560332834,#NUM!
Pakenham,2929,205408179,3810,35306,31,5.4,605,31.7,20.2,15.8,25,11.51619248,15.10762576,9.240791332,3.906890596
Nar Nar Goon-Maryknoll,74,205408666,3812,2269,41,3.4,587,32,31.7,15.7,1,6.209453366,11.14784089,9.197216693,0
Tynong,22,205408734,3813,1105,40,4.2,533,33.5,25.4,18,1,4.459431619,10.10983065,9.057991723,0
Garfield,49,205409306,3814,1918,39,3,522,32,25.8,15.4,3,5.614709844,10.90538701,9.027905997,1
Bunyip-Tonimbuk,106,205408951,3815,2912,41,3.4,516,35.7,25,13.3,11,6.727920455,11.50779464,9.011227255,2.321928095
Longwarry+South+North,94,205408474,3816,1972,37,5.1,507,29.5,20,12.6,1,6.554588852,10.94544384,8.985841937,#NUM!
Drouin+South+West-Jindivick,578,205408703,3818,12089,40,5.2,500,29.2,24.3,16.4,3,9.174925683,13.56140729,8.965784285,0
Warragul,1005,205408631,3820,14074,40,5.3,529,29.5,27.2,16.5,8,9.972979786,13.7807448,9.047123912,0
Noojee-Loch Valley-Tanjil Bren,38,205407584,3833,317,45,4.3,365,12.5,18.8,11.2,3,5.247927513,8.30833903,8.511752654,#NUM!
Langwarrin,891,205409232,3910,21371,35,3.9,629,30.6,28.2,17.2,35,9.799281622,14.3833668,9.296916207,5
Baxter,195,205409860,3911,3271,37,5.4,575,30.2,26.9,20.2,62,7.607330314,11.67551604,9.167418146,5.807354922
Somerville-Pearcedale,640,205408956,3912,14604,38,4,567,31.4,27.5,17.2,30,9.321928095,13.83407595,9.147204925,4.64385619
Tyabb,214,205409380,3913,3306,38,3.9,567,31.3,29.9,15.6,5,7.741466986,11.69087101,9.147204925,1.584962501
Hastings,1110,205408940,3915,9029,37,7.4,455,29.6,21.1,13,24,10.11634396,13.1403505,8.829722735,3.169925001
Merricks-Shoreham,42,205409509,3916,586,51,1.5,684,27.3,33.8,17.5,3,5.392317423,9.194756854,9.417852515,0
Bittern,105,205409616,3918,3378,38,4.8,545,32.1,24.6,15.3,3,6.714245518,11.72195361,9.09011242,0
Crib Point,205,205410008,3919,2839,36,5.7,533,30,22,15.4,0,7.6794801,11.47116713,9.057991723,#NUM!
HMAS Cerebus,12,205409687,3920,1085,21,0.4,740,14.2,7.3,26.9,2,3.584962501,10.08347933,9.531381461,1
Tankerton,0,205407693,3921,116,50,7,296,33.3,28.6,0,0,#NUM!,6.857980995,8.209453366,#NUM!
Cowes,485,205408955,3922,6799,47,5.2,471,26.6,21.6,12,28,8.921840937,12.73110685,8.87958325,3
Rhyll,12,205409651,3923,674,53,4.5,466,24.8,26.1,13.4,0,3.584962501,9.396604781,8.864186145,#NUM!
Balnarringg,0,205409301,3926,3298,46,3.3,586,28.2,23.1,16.2,5,#NUM!,11.68737568,9.194756854,2
Somers,36,205409713,3927,1427,48,4.3,630,27.2,22.6,14.5,1,5.169925001,10.47876962,9.299208018,0
Main Ridge,2,205409284,3928,469,47,0,697,30,29.3,10.7,1,1,8.873444113,9.445014846,#NUM!
Flinders,79,205408585,3929,860,56,3.2,661,19.3,16.5,12.4,5,6.303780748,9.74819285,9.368506462,1
Mount Eliza,800,205409400,3930,17248,43,3.2,661,30.9,27.7,16.3,143,9.64385619,14.07414146,9.368506462,6.686500527
Mornington,1649,205409453,3931,22422,43,5,555,28.5,20.3,14.8,73,10.68737568,14.45262735,9.116343961,5.727920455
Moorooduc,46,205408836,3933,1028,45,2.4,626,24.8,28,18,4,5.523561956,10.00562455,9.290018847,1.584962501
Mount Martha,500,205409177,3934,17087,41,3.3,617,33.3,24.3,12.6,41,8.965784285,14.0606115,9.269126679,4.459431619
Dromana,488,205409172,3936,9014,49,5.3,485,26.1,20.8,13.7,11,8.930737338,13.13795173,8.921840937,2.321928095
Red Hill,43,205409397,3937,1903,48,1.4,644,28.8,23.2,15.1,22,5.426264755,10.89405985,9.330916878,0
McCrae,82,205410132,3938,2543,52,2.9,535,25.1,18.9,14.6,8,6.357552005,11.31231575,9.063395081,2
Rosebud,1158,205409092,3939,13617,48,5.8,428,26.8,21.1,14.1,70,10.17741954,13.73312127,8.741466986,5.169925001
Rosebud West,229,205410061,3940,4579,58,9.8,390,20.2,12.3,11,22,7.839203788,12.16081685,8.607330314,#NUM!
Rye-Tootgarook,791,205409588,3941,11705,45,5.2,466,25.3,17.9,12.5,38,9.627533884,13.51483731,8.864186145,5.129283017
Blairgowrie,101,205410020,3942,2161,55,4.8,514,29.2,16.9,12.7,268,6.658211483,11.07748336,9.005624549,4.64385619
Sorrento,151,205409982,3943,1448,63,2.4,539,20.9,14,17.4,16,7.238404739,10.49984589,9.074141463,3.321928095
Portsea-Blackwarry,66,205409803,3944,446,65,2.3,962,15.9,14.3,19,31,6.044394119,8.8008999,9.909893084,4.64385619
Loch-Krowera-Woodleigh,25,205408296,3945,967,48,4.1,520,22.9,25.2,11.9,0,4.64385619,9.917372079,9.022367813,#NUM!
Bena,4,205409170,3946,null,null,null,null,null,null,null,0,2,#VALUE!,#VALUE!,#NUM!
Leongatha-Hallston-Trida-Ruby,375,205407845,3953,7281,42,3.2,538,31.8,24.6,13.3,2,8.550746785,12.82992089,9.071462363,1
Meeniyan-Tarwin-Meadows,116,205407624,3956,2217,47,4.2,404,30.1,23.8,9.6,1,6.857980995,11.11439305,8.658211483,0
Lyndhurst,475,205409598,3975,11666,31,5,698,30.9,20.4,19.6,28,8.891783703,13.51002236,9.447083226,4.247927513
Hampton Park,1054,205409729,3976,23767,32,7.9,507,27,25.1,17.1,36,10.04165915,14.53667219,8.985841937,4.523561956
Cranbourne-Skye-Devon Meadows,4262,205409208,3977,67424,32,5.8,605,30.8,22.7,15.4,232,12.05731488,16.0409746,9.240791332,6.894817763
Clyde,138,205408906,3978,1218,40,3.6,563,28.6,30,17.6,11,7.108524457,10.25029842,9.136991112,3.169925001
Kernot-Korrine,5,205409272,3979,666,46,3.8,575,34.1,26.6,13.9,0,2.321928095,9.379378367,9.167418146,#NUM!
Tooradin,139,205409279,3980,3060,37,4,606,33.8,23.5,14.8,3,7.118941073,11.57931594,9.243173983,1
Koo Wee Rup,222,205408571,3981,4262,38,3.7,521,33.1,26.4,11.7,7,7.794415866,12.05731488,9.025139562,2
Lang Lang,242,205408105,3984,4758,46,6.1,422,27.5,23,9.5,17,7.918863237,12.21613956,8.721099189,3.459431619
Nyora,36,205408256,3987,1332,39,3.2,544,28.9,30.3,14.1,1,5.169925001,10.37937837,9.087462841,0
Poowong+East+North-Topiram,14,205408712,3988,895,40,2.9,521,38.1,28.8,5.9,0,3.807354922,9.805743872,9.025139562,#NUM!
Glen Forbes,7,205409321,3990,null,null,null,null,null,null,null,0,2.807354922,#VALUE!,#VALUE!,#NUM!
Bass,49,205408740,3991,414,47,2.3,461,28.1,22.8,8.8,6,5.614709844,8.693486957,8.84862294,2.584962501
